Instance,bitwise_Time,bitwise_Solutions,bitwise_Decisions,pairwise_Time,pairwise_Solutions,pairwise_Decisions,ladder_Time,ladder_Solutions,ladder_Decisions,matrix_Time,matrix_Solutions,matrix_Decisions
AsnetAm,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
AttMpls,12.854,332079085047889148852050485582652086278656000,47660,22.490,332079085047889148852050485582652086278656000,59566,8.243,332079085047889148852050485582652086278656000,17675,22.294,332079085047889148852050485582652086278656000,59566
Bellcanada,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Bellsouth,872.883,25499846072471603994198597758742212232593756141300827054153268206047828847968750000000000000000000000,697698,1204.157,25499846072471603994198597758742212232593756141300827054153268206047828847968750000000000000000000000,520902,584.957,25499846072471603994198597758742212232593756141300827054153268206047828847968750000000000000000000000,179875,1055.544,25499846072471603994198597758742212232593756141300827054153268206047828847968750000000000000000000000,520902
BeyondTheNetwork,520.490,2295287706099684505114490054400,47082,776.895,2295287706099684505114490054400,183264,TO,TO,TO,889.125,2295287706099684505114490054400,200013
BtNorthAmerica,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Cernet,46.455,999911045595155186882207018646590760,29274,43.374,999911045595155186882207018646590760,40060,238.512,999911045595155186882207018646590760,16170,41.073,999911045595155186882207018646590760,40060
Cesnet200706,110.830,26379159737915280007275994063063067339520,140639,104.711,26379159737915280007275994063063067339520,111730,91.470,26379159737915280007275994063063067339520,32046,104.333,26379159737915280007275994063063067339520,111730
Cesnet201006,5.595,80299268806739645462729470199902374912,12113,8.892,80299268806739645462729470199902374912,27484,7.284,80299268806739645462729470199902374912,10142,8.890,80299268806739645462729470199902374912,27484
Chinanet,122.331,176727991793056467571205005439579591987494173900,136145,271.940,176727991793056467571205005439579591987494173900,214038,85.390,176727991793056467571205005439579591987494173900,30335,271.616,176727991793056467571205005439579591987494173900,214038
Cogentco,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
