Instance,matrix_Time,matrix_Solutions,matrix_Decisions
AsnetAm,13.769,20064184773096211440000,21382
AttMpls,0.091,138690000,606
Bellcanada,29.935,1366309453307994000,17537
Bellsouth,1.748,794988832250372760,4363
BeyondTheNetwork,4.884,7960497608448,4990
BtNorthAmerica,0.107,17798747645952,715
Cernet,0.058,13037563816704,629
Cesnet200706,1.371,14399767872,7347
Cesnet201006,0.047,61223500800,524
Chinanet,0.020,7691190,151
Cogentco,ERR,ERR,ERR
Colt,TO,TO,TO
Columbus,3.398,7165051704986651567,6733
Cudi,0.850,9995373489286260,4359
Deltacom,2.458,3951934041188949052559872439407542961305600,9762
DeutscheTelekom,0.074,1569482805945600,733
Dfn,0.345,164585098635804000,1227
DialtelecomCz,50.888,20368774221577457181929824667570199495600,54218
Esnet,TO,TO,TO
Forthnet,4.028,29464511615072976,11439
Garr200902,0.428,7824905716064400,1062
Garr200908,0.286,463471976167200,1045
Garr200909,0.219,622464874416000,540
Garr200912,0.350,2122763494916064,1426
Garr201001,0.088,4162117365182599680,893
Garr201003,0.535,39991147739136,1699
Garr201004,571.443,2825001498839593800,64340
Garr201005,0.204,7087148919474624,1312
Garr201007,5.469,5336270947998010944,11200
Garr201008,0.295,388166930756280,1282
Garr201010,38.018,148027474414443820,26020
Garr201012,0.423,97131756402639000,2240
Garr201101,TO,TO,TO
Garr201102,0.665,289496337962113800,2534
Garr201103,1.596,188664499520640000,1889
Garr201104,1.081,16136087602223714400,3734
Garr201105,1.541,1513246451090613120,3725
Garr201107,1.731,936844463116800,3601
Garr201108,0.631,12012866735768260800,1591
Garr201109,2.659,132270243712681500,3268
Garr201110,0.801,14056537029740766,1249
Garr201111,1.272,5792755250563929648,2927
Garr201112,124.659,374638307489310900,37712
Garr201201,0.666,503920288213159104,2250
Geant2009,0.894,405899646567480,5699
Geant2010,0.683,49350233892960,2471
Geant2012,0.463,8453062741836,1250
Globenet,19.294,3614360512588884541440,11187
GtsCe,TO,TO,TO
HiberniaGlobal,12.884,2074561928035084800000,36087
Highwinds,0.064,2620625,252
Iij,4.440,74717787200,12753
Intellifiber,TO,TO,TO
Internode,2.134,656798976200400,5122
Interoute,0.819,92298128982085591042551065289360000,4642
Intranetwork,0.290,33747703235280000,1038
Ion,ERR,ERR,ERR
Iris,0.123,71342977305600000,632
Kdl,ERR,ERR,ERR
Latnet,0.876,304291353642490026193920,2873
Missouri,0.289,57105820983404196432000,1904
Ntelos,0.130,12204588447222183936,1197
Ntt,0.106,8386993056,738
Oteglobe,2.167,58932142778298816678592512000,7511
Palmetto,0.065,873985074811200,597
Pern,0.268,768839913291780,1515
PionierL3,0.587,11411355795840,3143
RedBestel,2.774,1619510434492756271902713446400,11114
Renater2010,0.178,54096125107736880,943
RoedunetFibre,0.106,621254814919200,546
Sinet,7.334,15071837050368,2174
Surfnet,2.364,3342855333091997118,7396
Switch,1.343,2279438093318474291882336,6572
SwitchL3,0.051,2814573775104,377
Syringa,3.994,10089788438219191257523968000,19806
TataNld,3.628,116699270316984507028179654846752222085120000,13910
Telcove,35.407,74165451814712814103255500,16608
Tinet,1.052,13027376900512716134400,5202
Tw,4.550,3790029909358778736510720000,5167
Ulaknet,136.532,756492510715200,18466
Uninett2010,62.669,120545239248463249868042304,64985
Uninett2011,ERR,ERR,ERR
UsCarrier,172.175,132299646414148921973967297061663323763487466000,20331
UsSignal,2.286,3542621686896383831250,9107
Uunet,0.081,1505816007051840,812
VtlWavenet2008,7.264,124108206211482212912333137920,19742
VtlWavenet2011,13.079,2067181203168727884189854085729600,47680
bell-06,0.022,203,151
bell-07,0.101,877,790
bell-08,1.140,4140,3239
bell-09,10.411,21147,14486
bell-10,199.899,115975,76670
