Instance,bitwise_Time,bitwise_Solutions,bitwise_Decisions,ladder_Time,ladder_Solutions,ladder_Decisions,pairwise_Time,pairwise_Solutions,pairwise_Decisions
AsnetAm,2.550,20064184773096211440000,20365,19.208,20064184773096211440000,12935,2.841,20064184773096211440000,13652
AttMpls,0.021,138690000,617,0.086,138690000,1373,0.013,138690000,630
Bellcanada,11.955,1366309453307994000,44759,120.552,1366309453307994000,16504,8.876,1366309453307994000,17906
Bellsouth,0.613,794988832250372760,4158,2.824,794988832250372760,15122,0.424,794988832250372760,4992
BeyondTheNetwork,1.836,7960497608448,8746,8.507,7960497608448,7797,1.711,7960497608448,5507
BtNorthAmerica,0.026,17798747645952,681,0.088,17798747645952,1230,0.026,17798747645952,807
Cernet,0.021,13037563816704,545,0.059,13037563816704,1007,0.010,13037563816704,490
Cesnet200706,0.830,14399767872,16968,2.521,14399767872,22476,0.609,14399767872,7271
Cesnet201006,0.018,61223500800,667,0.059,61223500800,881,0.010,61223500800,519
Chinanet,0.007,7691190,134,0.010,7691190,194,0.004,7691190,131
Columbus,0.868,7165051704986651567,6354,3.132,7165051704986651567,13246,0.727,7165051704986651567,6497
Cudi,0.288,9995373489286260,4804,1.370,9995373489286260,11089,0.282,9995373489286260,4052
Deltacom,0.597,3951934041188949052559872439407542961305600,8561,4.441,3951934041188949052559872439407542961305600,36334,0.461,3951934041188949052559872439407542961305600,9769
DeutscheTelekom,0.025,1569482805945600,669,0.078,1569482805945600,1352,0.016,1569482805945600,695
Dfn,0.150,164585098635804000,1237,0.371,164585098635804000,1848,0.114,164585098635804000,1048
DialtelecomCz,20.503,20368774221577457181929824667570199495600,59729,132.356,20368774221577457181929824667570199495600,65777,13.430,20368774221577457181929824667570199495600,61710
Forthnet,0.995,29464511615072976,10002,2.040,29464511615072976,6888,0.888,29464511615072976,7752
Garr200902,0.040,7824905716064400,1076,0.186,7824905716064400,1970,0.069,7824905716064400,1030
Garr200908,0.039,463471976167200,929,0.137,463471976167200,1737,0.037,463471976167200,971
Garr200909,0.022,622464874416000,511,0.056,622464874416000,684,0.015,622464874416000,448
Garr200912,0.119,2122763494916064,1950,0.357,2122763494916064,2921,0.116,2122763494916064,1404
Garr201001,0.030,4162117365182599680,816,0.059,4162117365182599680,1226,0.014,4162117365182599680,699
Garr201003,0.118,39991147739136,1592,0.547,39991147739136,4999,0.130,39991147739136,1682
Garr201004,115.740,2825001498839593800,85118,TO,TO,TO,116.922,2825001498839593800,64616
Garr201005,0.052,7087148919474624,1140,0.138,7087148919474624,1878,0.033,7087148919474624,1093
Garr201007,1.613,5336270947998010944,13378,11.256,5336270947998010944,20758,1.822,5336270947998010944,11406
Garr201008,0.106,388166930756280,1146,0.322,388166930756280,2500,0.097,388166930756280,1136
Garr201010,10.845,148027474414443820,43551,120.453,148027474414443820,34672,9.183,148027474414443820,25310
Garr201012,0.157,97131756402639000,2218,0.457,97131756402639000,4898,0.127,97131756402639000,2050
Garr201102,0.085,289496337962113800,2239,0.531,289496337962113800,5258,0.123,289496337962113800,2892
Garr201103,0.530,188664499520640000,3054,2.560,188664499520640000,3906,0.471,188664499520640000,1756
Garr201104,0.479,16136087602223714400,5406,1.690,16136087602223714400,9045,0.418,16136087602223714400,3559
Garr201105,0.448,1513246451090613120,5312,1.599,1513246451090613120,6294,0.453,1513246451090613120,3680
Garr201107,0.537,936844463116800,6303,2.482,936844463116800,12909,0.447,936844463116800,3560
Garr201108,0.103,12012866735768260800,1600,0.378,12012866735768260800,2739,0.131,12012866735768260800,1389
Garr201109,0.632,132270243712681500,3936,2.800,132270243712681500,4928,0.582,132270243712681500,2909
Garr201110,0.197,14056537029740766,1657,0.726,14056537029740766,2269,0.179,14056537029740766,1170
Garr201111,0.448,5792755250563929648,5237,1.425,5792755250563929648,5529,0.369,5792755250563929648,2917
Garr201112,76.737,374638307489310900,120910,TO,TO,TO,27.658,374638307489310900,37038
Garr201201,0.248,503920288213159104,2830,0.856,503920288213159104,4651,0.324,503920288213159104,2049
Geant2009,0.225,405899646567480,4096,2.454,405899646567480,25306,0.389,405899646567480,6379
Geant2010,0.174,49350233892960,2149,0.694,49350233892960,4193,0.210,49350233892960,2172
Geant2012,0.095,8453062741836,1240,0.227,8453062741836,2391,0.079,8453062741836,1273
Globenet,4.070,3614360512588884541440,14610,74.595,3614360512588884541440,13765,5.131,3614360512588884541440,10996
HiberniaGlobal,4.199,2074561928035084800000,50487,15.382,2074561928035084800000,47213,5.739,2074561928035084800000,43727
Highwinds,0.012,2620625,238,0.036,2620625,309,0.019,2620625,307
Iij,1.843,74717787200,30373,6.375,74717787200,30875,1.668,74717787200,12751
Internode,0.467,656798976200400,5878,2.413,656798976200400,11005,0.660,656798976200400,5165
Interoute,0.268,92298128982085591042551065289360000,4377,1.249,92298128982085591042551065289360000,11574,0.267,92298128982085591042551065289360000,4408
Intranetwork,0.042,33747703235280000,959,0.102,33747703235280000,1420,0.031,33747703235280000,913
Iris,0.020,71342977305600000,573,0.029,71342977305600000,703,0.008,71342977305600000,460
Latnet,0.148,304291353642490026193920,2499,0.459,304291353642490026193920,4732,0.128,304291353642490026193920,2681
Missouri,0.067,57105820983404196432000,1722,0.342,57105820983404196432000,3890,0.045,57105820983404196432000,1717
Ntelos,0.043,12204588447222183936,1320,0.172,12204588447222183936,2464,0.030,12204588447222183936,1057
Ntt,0.023,8386993056,728,0.128,8386993056,1486,0.020,8386993056,672
Oteglobe,1.109,58932142778298816678592512000,15194,4.544,58932142778298816678592512000,20588,0.838,58932142778298816678592512000,7494
Palmetto,0.023,873985074811200,519,0.046,873985074811200,809,0.015,873985074811200,534
Pern,0.089,768839913291780,1361,0.349,768839913291780,3358,0.103,768839913291780,1434
PionierL3,0.131,11411355795840,2345,0.955,11411355795840,10517,0.129,11411355795840,3391
RedBestel,0.925,1619510434492756271902713446400,9932,5.422,1619510434492756271902713446400,29455,0.851,1619510434492756271902713446400,10304
Renater2010,0.029,54096125107736880,817,0.072,54096125107736880,1403,0.018,54096125107736880,848
RoedunetFibre,0.019,621254814919200,487,0.041,621254814919200,725,0.010,621254814919200,480
Sinet,1.560,15071837050368,2111,92.944,15071837050368,5637,1.389,15071837050368,2169
Surfnet,1.455,3342855333091997118,23772,6.585,3342855333091997118,37919,0.845,3342855333091997118,8002
Switch,0.351,2279438093318474291882336,5679,1.788,2279438093318474291882336,13154,0.536,2279438093318474291882336,6844
SwitchL3,0.016,2814573775104,364,0.039,2814573775104,709,0.009,2814573775104,323
Syringa,1.608,10089788438219191257523968000,21810,9.578,10089788438219191257523968000,53954,1.092,10089788438219191257523968000,17578
TataNld,0.990,116699270316984507028179654846752222085120000,13081,5.040,116699270316984507028179654846752222085120000,32513,1.159,116699270316984507028179654846752222085120000,13815
Telcove,5.876,74165451814712814103255500,22779,72.318,74165451814712814103255500,26161,8.182,74165451814712814103255500,17701
Tinet,0.349,13027376900512716134400,5342,1.339,13027376900512716134400,10518,0.370,13027376900512716134400,4683
Tw,1.354,3790029909358778736510720000,10042,6.829,3790029909358778736510720000,13709,0.969,3790029909358778736510720000,5372
Ulaknet,50.561,756492510715200,27341,TO,TO,TO,23.359,756492510715200,19167
Uninett2010,11.734,120545239248463249868042304,62137,191.590,120545239248463249868042304,52303,16.807,120545239248463249868042304,63738
UsCarrier,21.850,132299646414148921973967297061663323763487466000,23014,TO,TO,TO,30.068,132299646414148921973967297061663323763487466000,18847
UsSignal,0.779,3542621686896383831250,10236,4.220,3542621686896383831250,26921,0.558,3542621686896383831250,6422
