Instance,bitwise_Time,bitwise_Solutions,bitwise_Decisions,pairwise_Time,pairwise_Solutions,pairwise_Decisions,ladder_Time,ladder_Solutions,ladder_Decisions,matrix_Time,matrix_Solutions,matrix_Decisions
AsnetAm,293.758,10940176835337547967924371034466868710630875677480103542870936241337139500367104,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
AttMpls,5.532,332079085047889148852050485582652086278656000,-,10.104,332079085047889148852050485582652086278656000,-,17.704,332079085047889148852050485582652086278656000,-,10.486,332079085047889148852050485582652086278656000,-
Bellcanada,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Bellsouth,123.389,25499846072471603994198597758742212232593756141300827054153268206047828847968750000000000000000000000,-,414.080,25499846072471603994198597758742212232593756141300827054153268206047828847968750000000000000000000000,-,226.529,25499846072471603994198597758742212232593756141300827054153268206047828847968750000000000000000000000,-,564.864,25499846072471603994198597758742212232593756141300827054153268206047828847968750000000000000000000000,-
BeyondTheNetwork,TO,TO,TO,318.695,2295287706099684505114490054400,-,TO,TO,TO,305.830,2295287706099684505114490054400,-
BtNorthAmerica,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Cernet,23.597,999911045595155186882207018646590760,-,32.010,999911045595155186882207018646590760,-,168.150,999911045595155186882207018646590760,-,30.401,999911045595155186882207018646590760,-
Cesnet200706,20.281,26379159737915280007275994063063067339520,-,64.414,26379159737915280007275994063063067339520,-,95.348,26379159737915280007275994063063067339520,-,62.886,26379159737915280007275994063063067339520,-
Cesnet201006,3.218,80299268806739645462729470199902374912,-,5.555,80299268806739645462729470199902374912,-,14.234,80299268806739645462729470199902374912,-,5.283,80299268806739645462729470199902374912,-
Chinanet,38.629,176727991793056467571205005439579591987494173900,-,129.891,176727991793056467571205005439579591987494173900,-,128.036,176727991793056467571205005439579591987494173900,-,126.818,176727991793056467571205005439579591987494173900,-
Cogentco,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
