Instance,matrix_Time,matrix_Solutions,matrix_Decisions
AsnetAm,6.480,20064184773096211440000,-
AttMpls,0.228,138690000,-
Bellcanada,21.489,1366309453307994000,-
Bellsouth,1.495,794988832250372760,-
BeyondTheNetwork,3.127,7960497608448,-
BtNorthAmerica,0.105,17798747645952,-
Cernet,0.077,13037563816704,-
Cesnet200706,1.394,14399767872,-
Cesnet201006,0.194,61223500800,-
Chinanet,0.024,7691190,-
Cogentco,TO,TO,TO
Colt,TO,TO,TO
Columbus,1.814,7165051704986651567,-
Cudi,0.538,9995373489286260,-
Deltacom,1.293,3951934041188949052559872439407542961305600,-
DeutscheTelekom,0.118,1569482805945600,-
Dfn,0.713,164585098635804000,-
DialtelecomCz,21.849,20368774221577457181929824667570199495600,-
Esnet,TO,TO,TO
Forthnet,3.069,29464511615072976,-
Garr200902,0.322,7824905716064400,-
Garr200908,0.113,463471976167200,-
Garr200909,0.099,622464874416000,-
Garr200912,0.298,2122763494916064,-
Garr201001,0.093,4162117365182599680,-
Garr201003,0.369,39991147739136,-
Garr201004,412.164,2825001498839593800,-
Garr201005,0.194,7087148919474624,-
Garr201007,3.754,5336270947998010944,-
Garr201008,0.276,388166930756280,-
Garr201010,17.682,148027474414443820,-
Garr201012,0.265,97131756402639000,-
Garr201101,TO,TO,TO
Garr201102,0.462,289496337962113800,-
Garr201103,1.609,188664499520640000,-
Garr201104,0.624,16136087602223714400,-
Garr201105,0.785,1513246451090613120,-
Garr201107,0.776,936844463116800,-
Garr201108,0.436,12012866735768260800,-
Garr201109,1.837,132270243712681500,-
Garr201110,0.509,14056537029740766,-
Garr201111,1.058,5792755250563929648,-
Garr201112,75.814,374638307489310900,-
Garr201201,0.536,503920288213159104,-
Geant2009,0.917,405899646567480,-
Geant2010,0.612,49350233892960,-
Geant2012,0.250,8453062741836,-
Globenet,16.110,3614360512588884541440,-
GtsCe,508.747,1131381494786577404342359178908685756602897641120,-
HiberniaGlobal,3.347,2074561928035084800000,-
Highwinds,0.127,2620625,-
Iij,2.309,74717787200,-
Intellifiber,TO,TO,TO
Internode,0.965,656798976200400,-
Interoute,0.591,92298128982085591042551065289360000,-
Intranetwork,0.184,33747703235280000,-
Ion,TO,TO,TO
Iris,0.096,71342977305600000,-
Kdl,TO,TO,TO
Latnet,0.615,304291353642490026193920,-
Missouri,0.275,57105820983404196432000,-
Ntelos,0.192,12204588447222183936,-
Ntt,0.132,8386993056,-
Oteglobe,1.683,58932142778298816678592512000,-
Palmetto,0.142,873985074811200,-
Pern,0.239,768839913291780,-
PionierL3,0.686,11411355795840,-
RedBestel,1.552,1619510434492756271902713446400,-
Renater2010,0.113,54096125107736880,-
RoedunetFibre,0.080,621254814919200,-
Sinet,3.346,15071837050368,-
Surfnet,1.624,3342855333091997118,-
Switch,1.090,2279438093318474291882336,-
SwitchL3,0.084,2814573775104,-
Syringa,1.911,10089788438219191257523968000,-
TataNld,1.658,116699270316984507028179654846752222085120000,-
Telcove,23.690,74165451814712814103255500,-
Tinet,0.679,13027376900512716134400,-
Tw,2.995,3790029909358778736510720000,-
Ulaknet,57.047,756492510715200,-
Uninett2010,22.864,120545239248463249868042304,-
Uninett2011,TO,TO,TO
UsCarrier,83.891,132299646414148921973967297061663323763487466000,-
UsSignal,1.737,3542621686896383831250,-
Uunet,0.078,1505816007051840,-
VtlWavenet2008,3.158,124108206211482212912333137920,-
VtlWavenet2011,4.743,2067181203168727884189854085729600,-
bell-06,0.057,203,-
bell-07,0.147,877,-
bell-08,0.738,4140,-
bell-09,3.574,21147,-
bell-10,67.204,115975,-
bell-11,TO,TO,TO
bell-12,TO,TO,TO
delta,314.974,78,-
dominoes_10x10,2.358,258584046368,-
dominoes_10x12,5.110,65743732590821,-
dominoes_12x12,20.283,53060477521960000,-
dominoes_8x10,0.941,1031151241,-
dominoes_8x8,0.346,12988816,-
doublefact-09,0.030,945,-
doublefact-11,0.176,10395,-
doublefact-13,1.183,135135,-
doublefact-15,8.403,2027025,-
doublefact-17,92.353,34459425,-
doublefact-19,422.488,654729075,-
doublefact-21,TO,TO,TO
doublefact-23,TO,TO,TO
doublefact-25,TO,TO,TO
doublefact-27,TO,TO,TO
doublefact-29,TO,TO,TO
exotic_fives,TO,TO,TO
grafo10006.98,4.435,272471817868228000342011539250,-
grafo10017.96,TO,TO,TO
grafo10072.97,5.389,13259058958914480360125792,-
grafo10084.97,4.021,2215710702367944079837593600,-
grafo10093.98,0.551,12011373629043051434493001680,-
grafo10099.94,8.747,39349088628024795597276038431211520,-
grafo10100.99,5.430,7977811134928620432600,-
grafo10105.93,17.558,1235530189623079694604780000,-
grafo10112.98,38.175,12692215709904984401077716142166580,-
grafo10113.94,2.664,13552406625123665520153488091360,-
grafo10116.100,40.497,971179169153002230808540080,-
grafo10124.100,9.261,148037675522027488235960571000,-
grafo10126.98,31.286,183653527195148472467375902190208,-
grafo10129.99,622.117,198551644286553956304688320,-
grafo10130.97,TO,TO,TO
grafo10146.97,2.625,36084888290235633242565472,-
grafo10151.94,87.682,884237567251276314795903728,-
grafo10153.100,47.813,1522606325222540988002985840,-
grafo10156.97,2.205,20350483027459989276721853299680,-
grafo10160.96,527.085,14752167990036562570679040,-
grafo10161.99,229.198,7499629965587176856336728953760,-
grafo10162.93,19.328,16943723066030712130728,-
grafo10164.98,69.719,3832204204851047972904160,-
grafo10171.99,4.656,15378287316672584254732985280,-
grafo10173.97,52.737,8321947117800534439910676000,-
grafo10175.99,1.642,85388328645309376216506001872,-
grafo10176.97,9.779,110391288988965933859653042432,-
grafo10179.97,62.413,3283276628857985077912945920,-
grafo10184.100,4.429,774260303763303208390801489920,-
grafo10195.99,1.099,190292079107394297194953680,-
grafo10203.97,1.052,60240136444714215336356779770000,-
grafo10204.100,10.556,29653634898146327380379042234220,-
