Instance,bitwise_Time,bitwise_Solutions,bitwise_Decisions,pairwise_Time,pairwise_Solutions,pairwise_Decisions,ladder_Time,ladder_Solutions,ladder_Decisions,matrix_Time,matrix_Solutions,matrix_Decisions
AsnetAm,1443.740,10940176835337547967924371034466868710630875677480103542870936241337139500367104,-,TO,TO,TO,799.950,10940176835337547967924371034466868710630875677480103542870936241337139500367104,-,TO,TO,TO
AttMpls,41.052,332079085047889148852050485582652086278656000,-,41.886,332079085047889148852050485582652086278656000,-,23.404,332079085047889148852050485582652086278656000,-,42.074,332079085047889148852050485582652086278656000,-
Bellcanada,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Bellsouth,1045.290,25499846072471603994198597758742212232593756141300827054153268206047828847968750000000000000000000000,-,TO,TO,TO,129.320,25499846072471603994198597758742212232593756141300827054153268206047828847968750000000000000000000000,-,TO,TO,TO
BeyondTheNetwork,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
BtNorthAmerica,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Cernet,252.556,999911045595155186882207018646590760,-,230.249,999911045595155186882207018646590760,-,260.579,999911045595155186882207018646590760,-,197.137,999911045595155186882207018646590760,-
Cesnet200706,133.815,26379159737915280007275994063063067339520,-,182.595,26379159737915280007275994063063067339520,-,72.060,26379159737915280007275994063063067339520,-,183.091,26379159737915280007275994063063067339520,-
Cesnet201006,22.954,80299268806739645462729470199902374912,-,21.389,80299268806739645462729470199902374912,-,67.147,80299268806739645462729470199902374912,-,21.458,80299268806739645462729470199902374912,-
Chinanet,256.331,176727991793056467571205005439579591987494173900,-,368.065,176727991793056467571205005439579591987494173900,-,182.165,176727991793056467571205005439579591987494173900,-,481.466,176727991793056467571205005439579591987494173900,-
Cogentco,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Colt,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Columbus,514.617,5090009455158177059209193331838145145990297840,-,434.688,5090009455158177059209193331838145145990297840,-,883.591,5090009455158177059209193331838145145990297840,-,393.081,5090009455158177059209193331838145145990297840,-
Cudi,86.088,98887636113082547323646407045739194489389917934081369993997279669055703758187244382982871449600,-,250.304,98887636113082547323646407045739194489389917934081369993997279669055703758187244382982871449600,-,68.346,98887636113082547323646407045739194489389917934081369993997279669055703758187244382982871449600,-,250.970,98887636113082547323646407045739194489389917934081369993997279669055703758187244382982871449600,-
Deltacom,557.635,1280280065758737170659221716367433092000,-,526.665,1280280065758737170659221716367433092000,-,1213.150,1280280065758737170659221716367433092000,-,496.249,1280280065758737170659221716367433092000,-
DeutscheTelekom,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Dfn,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
DialtelecomCz,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Esnet,898.453,102339557612778829053460458922240934506659840,-,TO,TO,TO,460.929,102339557612778829053460458922240934506659840,-,TO,TO,TO
Forthnet,80.743,546450507006957294468261464125560707481600,-,150.854,546450507006957294468261464125560707481600,-,39.764,546450507006957294468261464125560707481600,-,161.677,546450507006957294468261464125560707481600,-
Garr200902,559.843,144954582223854446917895755730894050587033600,-,TO,TO,TO,174.894,144954582223854446917895755730894050587033600,-,TO,TO,TO
Garr200908,88.157,149557807934502940246059184369284846005760,-,148.305,149557807934502940246059184369284846005760,-,55.682,149557807934502940246059184369284846005760,-,146.662,149557807934502940246059184369284846005760,-
Garr200909,289.919,1015814853378741778651688378867374211652608030036700,-,209.731,1015814853378741778651688378867374211652608030036700,-,269.772,1015814853378741778651688378867374211652608030036700,-,230.058,1015814853378741778651688378867374211652608030036700,-
Garr200912,1060.460,302484739320686513198704378660573950216000000,-,TO,TO,TO,935.274,302484739320686513198704378660573950216000000,-,TO,TO,TO
Garr201001,213.857,492173555273235782445110509807618914159532391081780400,-,180.450,492173555273235782445110509807618914159532391081780400,-,246.095,492173555273235782445110509807618914159532391081780400,-,165.853,492173555273235782445110509807618914159532391081780400,-
Garr201003,733.574,4638858188061670631035222623544784343959242100869939200,-,811.932,4638858188061670631035222623544784343959242100869939200,-,1092.660,4638858188061670631035222623544784343959242100869939200,-,1039.840,4638858188061670631035222623544784343959242100869939200,-
Garr201004,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Garr201005,78.215,2293097254697450131457776011042855581295873607716000000,-,80.552,2293097254697450131457776011042855581295873607716000000,-,61.813,2293097254697450131457776011042855581295873607716000000,-,79.913,2293097254697450131457776011042855581295873607716000000,-
Garr201007,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Garr201008,308.619,441017805172365879603264736562302156800,-,191.175,441017805172365879603264736562302156800,-,296.834,441017805172365879603264736562302156800,-,205.627,441017805172365879603264736562302156800,-
Garr201010,TO,TO,TO,TO,TO,TO,661.539,215075245475688008898001197069296849560769377861632,-,TO,TO,TO
Garr201012,1390.400,2988224155251923877291845483530704354380312412422257413980160,-,1375.380,2988224155251923877291845483530704354380312412422257413980160,-,TO,TO,TO,1483.720,2988224155251923877291845483530704354380312412422257413980160,-
Garr201101,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Garr201102,705.956,1033590414327575680675386997247699230337689791329716392796160000,-,681.673,1033590414327575680675386997247699230337689791329716392796160000,-,592.941,1033590414327575680675386997247699230337689791329716392796160000,-,502.358,1033590414327575680675386997247699230337689791329716392796160000,-
Garr201103,540.496,2147459890664978716183667828077727376557650326161719296000,-,559.174,2147459890664978716183667828077727376557650326161719296000,-,772.165,2147459890664978716183667828077727376557650326161719296000,-,481.510,2147459890664978716183667828077727376557650326161719296000,-
Garr201104,801.149,909510916109358425971111718400000,-,950.959,909510916109358425971111718400000,-,TO,TO,TO,827.962,909510916109358425971111718400000,-
Garr201105,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Garr201107,TO,TO,TO,TO,TO,TO,318.598,5423976524379650916616394250035102198368324500,-,TO,TO,TO
Garr201108,103.714,483513403404754255153502412978375508469243230663666040832000000000,-,104.667,483513403404754255153502412978375508469243230663666040832000000000,-,87.648,483513403404754255153502412978375508469243230663666040832000000000,-,110.929,483513403404754255153502412978375508469243230663666040832000000000,-
