Instance,matrix_Time,matrix_Solutions,matrix_Decisions
AsnetAm,7.488,20064184773096211440000,-
AttMpls,0.040,138690000,-
Bellcanada,22.635,1366309453307994000,-
Bellsouth,1.519,794988832250372760,-
BeyondTheNetwork,8.399,7960497608448,-
BtNorthAmerica,0.167,17798747645952,-
Cernet,0.114,13037563816704,-
Cesnet200706,1.237,14399767872,-
Cesnet201006,0.074,61223500800,-
Chinanet,0.039,7691190,-
Cogentco,TO,TO,TO
Colt,TO,TO,TO
Columbus,2.331,7165051704986651567,-
Cudi,1.639,9995373489286260,-
Deltacom,1.937,3951934041188949052559872439407542961305600,-
DeutscheTelekom,0.181,1569482805945600,-
Dfn,0.519,164585098635804000,-
DialtelecomCz,47.316,20368774221577457181929824667570199495600,-
Esnet,TO,TO,TO
Forthnet,2.833,29464511615072976,-
Garr200902,0.444,7824905716064400,-
Garr200908,0.285,463471976167200,-
Garr200909,0.187,622464874416000,-
Garr200912,0.369,2122763494916064,-
Garr201001,0.381,4162117365182599680,-
Garr201003,0.427,39991147739136,-
Garr201004,389.923,2825001498839593800,-
Garr201005,0.377,7087148919474624,-
Garr201007,4.557,5336270947998010944,-
Garr201008,0.281,388166930756280,-
Garr201010,66.557,148027474414443820,-
Garr201012,0.290,97131756402639000,-
Garr201101,TO,TO,TO
Garr201102,0.534,289496337962113800,-
Garr201103,3.179,188664499520640000,-
Garr201104,1.571,16136087602223714400,-
Garr201105,1.217,1513246451090613120,-
Garr201107,1.703,936844463116800,-
Garr201108,0.471,12012866735768260800,-
Garr201109,3.032,132270243712681500,-
Garr201110,1.169,14056537029740766,-
Garr201111,1.226,5792755250563929648,-
Garr201112,96.024,374638307489310900,-
Garr201201,1.132,503920288213159104,-
Geant2009,0.937,405899646567480,-
Geant2010,0.495,49350233892960,-
Geant2012,0.751,8453062741836,-
Globenet,21.764,3614360512588884541440,-
GtsCe,814.199,1131381494786577404342359178908685756602897641120,-
HiberniaGlobal,7.371,2074561928035084800000,-
Highwinds,0.210,2620625,-
Iij,3.589,74717787200,-
Intellifiber,TO,TO,TO
Internode,2.060,656798976200400,-
Interoute,1.172,92298128982085591042551065289360000,-
Intranetwork,0.564,33747703235280000,-
Ion,TO,TO,TO
Iris,0.177,71342977305600000,-
Kdl,ERR,ERR,ERR
Latnet,0.781,304291353642490026193920,-
Missouri,0.470,57105820983404196432000,-
Ntelos,0.404,12204588447222183936,-
Ntt,0.141,8386993056,-
Oteglobe,4.033,58932142778298816678592512000,-
Palmetto,0.384,873985074811200,-
Pern,0.707,768839913291780,-
PionierL3,0.678,11411355795840,-
RedBestel,2.465,1619510434492756271902713446400,-
Renater2010,0.368,54096125107736880,-
RoedunetFibre,0.222,621254814919200,-
Sinet,63.635,15071837050368,-
Surfnet,2.919,3342855333091997118,-
Switch,1.368,2279438093318474291882336,-
SwitchL3,0.121,2814573775104,-
Syringa,3.435,10089788438219191257523968000,-
TataNld,5.221,116699270316984507028179654846752222085120000,-
Telcove,43.300,74165451814712814103255500,-
Tinet,0.690,13027376900512716134400,-
Tw,5.633,3790029909358778736510720000,-
Ulaknet,506.846,756492510715200,-
Uninett2010,32.066,120545239248463249868042304,-
Uninett2011,TO,TO,TO
UsCarrier,96.008,132299646414148921973967297061663323763487466000,-
UsSignal,3.326,3542621686896383831250,-
Uunet,0.145,1505816007051840,-
VtlWavenet2008,3.997,124108206211482212912333137920,-
VtlWavenet2011,5.294,2067181203168727884189854085729600,-
bell-06,0.095,203,-
bell-07,0.243,877,-
bell-08,1.072,4140,-
bell-09,9.291,21147,-
bell-10,103.706,115975,-
bell-11,782.337,678570,-
bell-12,TO,TO,TO
delta,168.181,78,-
dominoes_10x10,0.308,258584046368,-
dominoes_10x12,1.360,65743732590821,-
dominoes_12x12,20.535,53060477521960000,-
dominoes_8x10,0.146,1031151241,-
dominoes_8x8,0.058,12988816,-
doublefact-09,0.070,945,-
doublefact-11,0.256,10395,-
doublefact-13,2.753,135135,-
doublefact-15,40.880,2027025,-
doublefact-17,367.572,34459425,-
doublefact-19,TO,TO,TO
doublefact-21,TO,TO,TO
doublefact-23,TO,TO,TO
doublefact-25,TO,TO,TO
doublefact-27,TO,TO,TO
doublefact-29,TO,TO,TO
exotic_fives,TO,TO,TO
grafo10006.98,7.174,272471817868228000342011539250,-
grafo10017.96,TO,TO,TO
grafo10072.97,16.419,13259058958914480360125792,-
grafo10084.97,10.355,2215710702367944079837593600,-
grafo10093.98,1.208,12011373629043051434493001680,-
grafo10099.94,12.720,39349088628024795597276038431211520,-
grafo10100.99,8.524,7977811134928620432600,-
grafo10105.93,42.203,1235530189623079694604780000,-
grafo10112.98,47.569,12692215709904984401077716142166580,-
grafo10113.94,1.934,13552406625123665520153488091360,-
grafo10116.100,41.029,971179169153002230808540080,-
grafo10124.100,15.022,148037675522027488235960571000,-
grafo10126.98,63.486,183653527195148472467375902190208,-
grafo10129.99,TO,TO,TO
grafo10130.97,TO,TO,TO
grafo10146.97,5.407,36084888290235633242565472,-
grafo10151.94,184.964,884237567251276314795903728,-
grafo10153.100,125.831,1522606325222540988002985840,-
grafo10156.97,3.580,20350483027459989276721853299680,-
grafo10160.96,975.747,14752167990036562570679040,-
grafo10161.99,390.972,7499629965587176856336728953760,-
grafo10162.93,33.704,16943723066030712130728,-
grafo10164.98,175.400,3832204204851047972904160,-
grafo10171.99,7.497,15378287316672584254732985280,-
grafo10173.97,150.541,8321947117800534439910676000,-
grafo10175.99,3.138,85388328645309376216506001872,-
grafo10176.97,28.502,110391288988965933859653042432,-
grafo10179.97,65.793,3283276628857985077912945920,-
grafo10184.100,5.840,774260303763303208390801489920,-
grafo10195.99,1.491,190292079107394297194953680,-
grafo10203.97,1.311,60240136444714215336356779770000,-
grafo10204.100,22.820,29653634898146327380379042234220,-
grafo10205.97,1.860,1047098415602374598602584000,-
grafo10207.98,4.903,407524009110382244942767825920,-
grafo10209.99,3.337,1778405443010598595931612784,-
grafo10215.93,1.012,4429033439896804903015219200,-
grafo10218.99,66.186,38667105817754346010481229216,-
grafo10220.97,40.072,1790803918795800975261000000,-
grafo10223.100,23.082,328837542685158315870007155,-
grafo10237.100,1061.550,56690839685714305150282092960,-
grafo10244.99,49.545,9063532329631820153122673664,-
grafo10250.100,7.094,114852967527687017594839695360,-
grafo10259.100,TO,TO,TO
grafo10262.100,1.451,6525746259024633846681600,-
grafo10265.100,0.680,32094343893604867070884746240,-
grafo10266.94,2.768,110801121815568366975240,-
grafo10269.99,27.471,380480960212526987313930000,-
grafo10273.97,10.816,33635956333383979125105139200,-
grafo10275.97,8.702,244643834228122975019518779960,-
grafo10288.95,2.015,67924110954574990800416160000,-
grafo10291.93,3.196,8089182960223746111277546359360,-
grafo10292.100,TO,TO,TO
grafo10293.99,3.835,1189967169400391312521176624192,-
grafo10297.98,1.073,5047361956059511058420258045952,-
grafo10298.97,2.639,6411956755318891248938904345600,-
grafo10303.96,1.589,336623282871798635541043488000,-
grafo10305.100,18.765,292616449355000172969265830912,-
grafo10318.98,21.680,160075764596308430431394162528,-
grafo10325.96,38.074,1515402842894491432903083787725,-
grafo10327.97,1.585,6668191872233180852367168,-
grafo10339.95,32.651,154016948980994323270086040,-
grafo10346.97,2.222,85352803321813705564434487680,-
grafo10351.97,98.565,3038891642273243664196962750,-
grafo10353.99,6.381,577765059452569037115956736,-
grafo10354.99,3.486,2635922965070113457943960,-
grafo10359.95,36.470,21232201433844641535018326254080,-
grafo10362.94,15.293,13439932228370461283870400,-
grafo10365.97,441.087,25575909770099386458374460,-
grafo10369.100,13.585,162269574458684398363738080,-
grafo10382.94,TO,TO,TO
grafo10383.99,78.181,48590627320293679248909600,-
grafo10387.97,1.427,928110106585327508832600,-
grafo10388.95,9.905,100871271571286563976946948624,-
grafo10393.96,622.246,425495802885845177760459850700,-
grafo10405.97,TO,TO,TO
grafo10409.96,3.264,139058476479714794419701648,-
grafo10416.96,3.916,271249176254157952533452952,-
grafo10418.100,4.481,147754061920021215867995714457600,-
grafo10420.97,1.452,40799332872710765774848481424384,-
grafo10421.99,12.449,52350402903229612656419750400,-
grafo10426.100,71.944,1827792182028002330287070982157036,-
grafo10432.99,3.505,39585030704867624378340600668160,-
grafo10434.98,TO,TO,TO
grafo10436.95,54.423,4397495877745499771502988640640,-
grafo10441.98,TO,TO,TO
grafo10444.100,4.574,16141694039854526732472576000000,-
grafo10445.94,57.204,139093054073990193881088000,-
grafo10446.95,0.758,1406626619252431805138851200,-
grafo10452.94,1.270,1302522886890895552129225440,-
grafo10453.97,3.313,978085055060719586502813757440,-
grafo10467.100,6.557,829005255557150402856812544000,-
grafo10469.100,2.798,29833371992729329249984,-
grafo10474.94,86.701,379074777475066237548576,-
grafo10484.99,76.377,2800369925851353194772692875,-
grafo10488.98,2.814,147530693993345834083200,-
grafo10489.95,TO,TO,TO
grafo10491.97,TO,TO,TO
grafo10492.96,TO,TO,TO
grafo10496.98,1234.660,14305056819480615155962966224,-
grafo10501.96,13.103,60200824737438188138649600000,-
grafo10502.91,9.617,17145714310767787059504,-
grafo10508.100,1312.920,4511299976859460536969453195036,-
grafo10516.94,20.193,15349626258814572399639360,-
grafo10522.99,96.141,1362396344215079666562581191680,-
grafo10523.97,24.864,2582091752234108448983040,-
grafo10532.99,8.266,462566039822118771475073572512,-
grafo10533.100,17.650,75765334881122745334866192794594400,-
grafo10534.100,3.122,6190404474802541320344211290206208,-
grafo10536.99,2.205,89947113720736152688205852520,-
grafo10537.95,TO,TO,TO
grafo10538.100,15.551,789373682830989325271163816,-
grafo10547.94,16.441,6784952125033040430938400,-
grafo10549.99,26.993,1145040940241452014901674319885248,-
grafo10552.96,107.720,20889029397226285157195570148,-
grafo10560.95,4.524,10454917675207673432929607718912,-
grafo10575.99,23.213,290401904358524035719206484192,-
grafo10577.100,92.771,289452947838024215689962434880,-
grafo10578.96,5.928,59448044221069477278245400,-
grafo10586.100,1.460,3148492073586458925239257920,-
grafo10589.93,33.250,48907524397035141831510108060,-
grafo10592.98,3.070,2607343682329504256862467094951600,-
grafo10596.99,2.345,112573774918535869185914200320,-
grafo10603.100,2.208,670515323535794966768000,-
grafo10608.93,4.727,2731816373006312109429752800,-
grafo10624.91,2.212,28252598579182428029482758660,-
grafo10626.100,0.809,123805968402809495607386400,-
grafo10630.94,32.183,42203028634531492749435200,-
grafo10632.100,44.291,574873638719068404760642606008000,-
grafo10633.100,1312.580,4051183301781349959892800,-
grafo10634.96,24.694,1654661607863151503791546470072,-
grafo10635.95,5.407,71356613932690877273184000,-
grafo10637.94,2.566,11214433932496991100576672,-
grafo10638.100,1.890,186453077689245827319552,-
grafo10644.100,5.241,465721805127078320112415926,-
grafo10646.100,1.362,9820844339917672108320000,-
grafo10648.98,57.222,356474569742739338284800,-
grafo10650.98,286.811,34469989471030631805056520,-
grafo10652.100,1026.550,3980767018871922537250737072,-
grafo10653.100,98.397,1342947580955101731654364320,-
grafo10662.100,7.703,27178777349470484479346220000,-
grafo10663.99,4.776,10004537904397046812627562880,-
grafo10670.100,TO,TO,TO
grafo10671.100,361.683,624388665254004882462918502728,-
grafo10674.99,14.671,5795071987312867464401288085504,-
grafo10676.100,2.354,88449251051691116273910908805120,-
grafo10685.98,3.028,18933970214606610605994945868800,-
grafo10688.95,458.694,7478181939256863448721096448,-
grafo10689.98,17.677,1370682840424281115042080000,-
grafo10693.98,1.427,15811121663230543469294733740160,-
grafo10694.96,TO,TO,TO
grafo10695.98,7.081,152426309856396886819860480,-
grafo10696.99,13.252,5204295119772122743131779016000,-
grafo10698.95,1.233,195624642073083526902416762880,-
grafo10700.98,2.566,2303423420658486348064432128000,-
grafo10712.98,14.908,87350475221980225179971773660000,-
grafo10713.92,61.191,762510033365435299350000,-
grafo10714.99,TO,TO,TO
grafo10722.96,87.824,7181570767061926043280,-
grafo10726.99,12.819,1169388613595008901313330971328,-
grafo10735.99,TO,TO,TO
grafo10736.99,4.269,654533353008865416702686400,-
grafo10737.99,15.514,948450972521583413184960,-
grafo10750.100,6.046,79424048531055784214151971742570,-
grafo10758.96,7.591,14393936331269128652052040205472000,-
grafo10760.96,34.274,44506808727552680251881600,-
grafo10772.100,TO,TO,TO
grafo10780.99,746.774,100509624870633878324896188000,-
grafo10781.100,9.012,34326665474148801719856,-
grafo10792.98,16.122,28740760556884933575573102213120,-
grafo10806.97,62.645,35882395822546962110864956512,-
grafo10807.95,50.322,593601033156740569446885,-
grafo10808.98,26.898,378121638730523407451224668000,-
grafo10810.97,TO,TO,TO
grafo10811.96,19.437,62515660367842952114211840,-
grafo10814.98,46.732,1117495537268725326331067884800,-
grafo10820.100,ERR,ERR,ERR
grafo10825.98,2.068,448703730980795389658142516768,-
grafo10827.99,658.135,55037159210177477446446115200,-
grafo10829.97,1.749,353483805373369159926528000,-
grafo10831.98,3.943,132171520291202302513208524800,-
grafo10832.94,ERR,ERR,ERR
