Instance,bitwise_Time,bitwise_Solutions,bitwise_Decisions,pairwise_Time,pairwise_Solutions,pairwise_Decisions,ladder_Time,ladder_Solutions,ladder_Decisions,matrix_Time,matrix_Solutions,matrix_Decisions
AsnetAm,44.190,10940176835337547967924371034466868710630875677480103542870936241337139500367104,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
AttMpls,1.180,332079085047889148852050485582652086278656000,-,1.240,332079085047889148852050485582652086278656000,-,1.470,332079085047889148852050485582652086278656000,-,1.240,332079085047889148852050485582652086278656000,-
Bellcanada,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Bellsouth,34.150,25499846072471603994198597758742212232593756141300827054153268206047828847968750000000000000000000000,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
BeyondTheNetwork,36.550,2295287706099684505114490054400,-,49.000,2295287706099684505114490054400,-,TO,TO,TO,46.620,2295287706099684505114490054400,-
BtNorthAmerica,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Cernet,3.360,999911045595155186882207018646590760,-,4.120,999911045595155186882207018646590760,-,TO,TO,TO,4.120,999911045595155186882207018646590760,-
Cesnet200706,5.320,26379159737915280007275994063063067339520,-,6.040,26379159737915280007275994063063067339520,-,TO,TO,TO,6.140,26379159737915280007275994063063067339520,-
Cesnet201006,0.780,80299268806739645462729470199902374912,-,0.590,80299268806739645462729470199902374912,-,25.250,80299268806739645462729470199902374912,-,0.600,80299268806739645462729470199902374912,-
Chinanet,5.570,176727991793056467571205005439579591987494173900,-,9.480,176727991793056467571205005439579591987494173900,-,41.720,176727991793056467571205005439579591987494173900,-,9.490,176727991793056467571205005439579591987494173900,-
Cogentco,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Colt,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Columbus,26.210,5090009455158177059209193331838145145990297840,-,26.240,5090009455158177059209193331838145145990297840,-,TO,TO,TO,26.560,5090009455158177059209193331838145145990297840,-
Cudi,4.150,98887636113082547323646407045739194489389917934081369993997279669055703758187244382982871449600,-,12.490,98887636113082547323646407045739194489389917934081369993997279669055703758187244382982871449600,-,TO,TO,TO,12.460,98887636113082547323646407045739194489389917934081369993997279669055703758187244382982871449600,-
Deltacom,19.330,1280280065758737170659221716367433092000,-,34.980,1280280065758737170659221716367433092000,-,TO,TO,TO,34.890,1280280065758737170659221716367433092000,-
DeutscheTelekom,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Dfn,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
DialtelecomCz,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Esnet,34.970,102339557612778829053460458922240934506659840,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
Forthnet,3.440,546450507006957294468261464125560707481600,-,4.950,546450507006957294468261464125560707481600,-,44.870,546450507006957294468261464125560707481600,-,4.920,546450507006957294468261464125560707481600,-
Garr200902,27.900,144954582223854446917895755730894050587033600,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
Garr200908,2.250,149557807934502940246059184369284846005760,-,3.290,149557807934502940246059184369284846005760,-,234.790,162483010093340415072136481913598193856000,-,1.610,149557807934502940246059184369284846005760,-
Garr200909,2.660,1015814853378741778651688378867374211652608030036700,-,12.110,1015814853378741778651688378867374211652608030036700,-,TO,TO,TO,14.040,1015814853378741778651688378867374211652608030036700,-
Garr200912,14.840,302484739320686513198704378660573950216000000,-,988.860,277051168077440646158091528434038223741520000,-,TO,TO,TO,TO,TO,TO
Garr201001,3.820,492173555273235782445110509807618914159532391081780400,-,4.110,492173555273235782445110509807618914159532391081780400,-,TO,TO,TO,4.160,492173555273235782445110509807618914159532391081780400,-
Garr201003,17.670,4638858188061670631035222623544784343959242100869939200,-,33.880,4638858188061670631035222623544784343959242100869939200,-,TO,TO,TO,34.270,4638858188061670631035222623544784343959242100869939200,-
Garr201004,18.570,1379038779832011838688761591791769248162786698487398400,-,40.750,1379038779832011838688761591791769248162786698487398400,-,TO,TO,TO,41.480,1379038779832011838688761591791769248162786698487398400,-
Garr201005,2.120,2293097254697450131457776011042855581295873607716000000,-,2.940,2293097254697450131457776011042855581295873607716000000,-,TO,TO,TO,2.970,2293097254697450131457776011042855581295873607716000000,-
Garr201007,33.120,39747929163012952611440662382722282096715815018884000,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
Garr201008,2.880,441017805172365879603264736562302156800,-,4.510,441017805172365879603264736562302156800,-,TO,TO,TO,4.270,441017805172365879603264736562302156800,-
Garr201010,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Garr201012,35.080,2988224155251923877291845483530704354380312412422257413980160,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
Garr201101,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Garr201102,12.900,1033590414327575680675386997247699230337689791329716392796160000,-,22.900,1033590414327575680675386997247699230337689791329716392796160000,-,TO,TO,TO,22.970,1033590414327575680675386997247699230337689791329716392796160000,-
Garr201103,7.310,2147459890664978716183667828077727376557650326161719296000,-,17.430,2147459890664978716183667828077727376557650326161719296000,-,TO,TO,TO,17.520,2147459890664978716183667828077727376557650326161719296000,-
Garr201104,13.990,909510916109358425971111718400000,-,14.650,909510916109358425971111718400000,-,TO,TO,TO,14.800,909510916109358425971111718400000,-
Garr201105,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Garr201107,7.930,5423976524379650916616394250035102198368324500,-,8.040,5423976524379650916616394250035102198368324500,-,TO,TO,TO,8.480,5423976524379650916616394250035102198368324500,-
Garr201108,2.310,483513403404754255153502412978375508469243230663666040832000000000,-,4.910,483513403404754255153502412978375508469243230663666040832000000000,-,1390.250,495233712762281963791295536778899348057592518585545129984000000000,-,4.830,483513403404754255153502412978375508469243230663666040832000000000,-
Garr201109,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Garr201110,5.230,70827947477273144207346637473284640342509260800000,-,9.240,70827947477273144207346637473284640342509260800000,-,TO,TO,TO,9.480,70827947477273144207346637473284640342509260800000,-
Garr201111,1.730,217033881231731069977192965857031193110773760000,-,2.340,217033881231731069977192965857031193110773760000,-,TO,TO,TO,2.330,217033881231731069977192965857031193110773760000,-
Garr201112,2.030,18280671064677937442888167436526553379132166550703285867361024,-,3.740,18280671064677937442888167436526553379132166550703285867361024,-,TO,TO,TO,3.610,18280671064677937442888167436526553379132166550703285867361024,-
Garr201201,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Geant2009,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Geant2010,TO,TO,TO,59.250,2039888960520741211356885071103348586967815799049337903680,-,TO,TO,TO,58.570,2039888960520741211356885071103348586967815799049337903680,-
Geant2012,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Globenet,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
GtsCe,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
HiberniaGlobal,2.200,167702743319829806575827120,-,1.330,167702743319829806575827120,-,59.440,167702743319829806575827120,-,1.330,167702743319829806575827120,-
Highwinds,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Iij,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Intellifiber,1.460,36549802787055953709844384931432745900000,-,1.090,36549802787055953709844384931432745900000,-,17.310,36549802787055953709844384931432745900000,-,1.110,36549802787055953709844384931432745900000,-
Internode,2.810,17086140349704335830394759139844981612560,-,2.890,17086140349704335830394759139844981612560,-,18.340,17086140349704335830394759139844981612560,-,2.840,17086140349704335830394759139844981612560,-
Interoute,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Intranetwork,0.360,10550301506245098778162949708954793612570,-,0.320,10550301506245098778162949708954793612570,-,0.750,10550301506245098778162949708954793612570,-,0.320,10550301506245098778162949708954793612570,-
Ion,9.960,28974053246635502194526777647958400,-,4.620,28974053246635502194526777647958400,-,TO,TO,TO,4.890,28974053246635502194526777647958400,-
Iris,11.060,112566891049207111041061862674382154408460800,-,15.320,112566891049207111041061862674382154408460800,-,21.170,112566891049207111041061862674382154408460800,-,15.310,112566891049207111041061862674382154408460800,-
Kdl,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Latnet,2.360,881192229446354281751953125000,-,2.670,881192229446354281751953125000,-,TO,TO,TO,2.920,881192229446354281751953125000,-
Missouri,15.930,1998709288134217991220,-,18.440,1998709288134217991220,-,TO,TO,TO,16.030,1998709288134217991220,-
Ntelos,12.160,24690483989431723448923965342704977321718663728558080,-,23.810,24690483989431723448923965342704977321718663728558080,-,TO,TO,TO,24.620,24690483989431723448923965342704977321718663728558080,-
Ntt,7.440,2240076355517039400341618299647502136137432699354194169036800,-,44.830,2240076355517039400341618299647502136137432699354194169036800,-,26.080,2240076355517039400341618299647502136137432699354194169036800,-,45.070,2240076355517039400341618299647502136137432699354194169036800,-
Oteglobe,18.370,1380078795623701280078238316576410696206210115871703040,-,36.060,1380078795623701280078238316576410696206210115871703040,-,TO,TO,TO,36.280,1380078795623701280078238316576410696206210115871703040,-
Palmetto,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Pern,6.420,31359896822482775963408666258232795984375,-,6.890,31359896822482775963408666258232795984375,-,5.510,31359896822482775963408666258232795984375,-,6.900,31359896822482775963408666258232795984375,-
PionierL3,28.060,22085582726425610222238166859596321920,-,TO,TO,TO,TO,TO,TO,TO,TO,TO
RedBestel,4.260,50416119991323377742371541676488442824955135029567342908357567711318435520000,-,6.200,50416119991323377742371541676488442824955135029567342908357567711318435520000,-,TO,TO,TO,6.320,50416119991323377742371541676488442824955135029567342908357567711318435520000,-
