Instance,matrix_Time,matrix_Solutions,matrix_Decisions
AsnetAm,1.490,20064184773096211440000,-
AttMpls,0.020,138690000,-
Bellcanada,6.920,1366309453307994000,-
Bellsouth,2.910,794988832250372760,-
BeyondTheNetwork,0.640,7960497608448,-
BtNorthAmerica,0.030,17798747645952,-
Cernet,0.030,13037563816704,-
Cesnet200706,0.480,14399767872,-
Cesnet201006,0.020,61223500800,-
Chinanet,0.010,7691190,-
Cogentco,TO,TO,TO
Colt,TO,TO,TO
Columbus,2.400,7165051704986651567,-
Cudi,0.160,9995373489286260,-
Deltacom,0.330,3951934041188949052559872439407542961305600,-
DeutscheTelekom,0.030,1569482805945600,-
Dfn,0.250,164585098635804000,-
DialtelecomCz,26.350,20368774221577457181929824667570199495600,-
Esnet,TO,TO,TO
Forthnet,1.320,29464511615072976,-
Garr200902,0.050,7824905716064400,-
Garr200908,0.040,463471976167200,-
Garr200909,0.020,622464874416000,-
Garr200912,0.080,2122763494916064,-
Garr201001,0.030,4162117365182599680,-
Garr201003,0.100,39991147739136,-
Garr201004,TO,TO,TO
Garr201005,0.040,7087148919474624,-
Garr201007,1.170,5336270947998010944,-
Garr201008,0.060,388166930756280,-
Garr201010,7.280,148027474414443820,-
Garr201012,0.070,97131756402639000,-
Garr201101,TO,TO,TO
Garr201102,0.080,289496337962113800,-
Garr201103,0.210,188664499520640000,-
Garr201104,0.220,16136087602223714400,-
Garr201105,0.210,1513246451090613120,-
Garr201107,0.320,936844463116800,-
Garr201108,0.080,12012866735768260800,-
Garr201109,0.220,132270243712681500,-
Garr201110,0.080,14056537029740766,-
Garr201111,0.200,5792755250563929648,-
Garr201112,19.710,374638307489310900,-
Garr201201,0.120,503920288213159104,-
Geant2009,0.370,405899646567480,-
Geant2010,0.120,49350233892960,-
Geant2012,0.050,8453062741836,-
Globenet,16.940,3614360512588884541440,-
GtsCe,TO,TO,TO
HiberniaGlobal,4.070,2074561928035084800000,-
Highwinds,0.020,2620625,-
Iij,2.000,74717787200,-
Intellifiber,TO,TO,TO
Internode,0.350,656798976200400,-
Interoute,0.200,92298128982085591042551065289360000,-
Intranetwork,0.040,33747703235280000,-
Ion,TO,TO,TO
Iris,0.030,71342977305600000,-
Kdl,ERR,1,-
Latnet,0.120,304291353642490026193920,-
Missouri,0.060,57105820983404196432000,-
Ntelos,0.050,12204588447222183936,-
Ntt,0.030,8386993056,-
Oteglobe,0.680,58932142778298816678592512000,-
Palmetto,0.030,873985074811200,-
Pern,0.060,768839913291780,-
PionierL3,0.120,11411355795840,-
RedBestel,0.800,1619510434492756271902713446400,-
Renater2010,0.030,54096125107736880,-
RoedunetFibre,0.020,621254814919200,-
Sinet,1.450,15071837050368,-
Surfnet,1.170,3342855333091997118,-
Switch,0.300,2279438093318474291882336,-
SwitchL3,0.020,2814573775104,-
Syringa,1.000,10089788438219191257523968000,-
TataNld,0.820,116699270316984507028179654846752222085120000,-
Telcove,2.560,74165451814712814103255500,-
Tinet,0.240,13027376900512716134400,-
Tw,0.560,3790029909358778736510720000,-
Ulaknet,17.030,756492510715200,-
Uninett2010,10.610,120545239248463249868042304,-
Uninett2011,TO,TO,TO
UsCarrier,TO,TO,TO
UsSignal,0.470,3542621686896383831250,-
Uunet,0.030,1505816007051840,-
VtlWavenet2008,3.210,124108206211482212912333137920,-
VtlWavenet2011,4.850,2067181203168727884189854085729600,-
bell-06,0.010,203,-
bell-07,0.020,877,-
