Instance,bitwise_Time,bitwise_Solutions,bitwise_Decisions,pairwise_Time,pairwise_Solutions,pairwise_Decisions,ladder_Time,ladder_Solutions,ladder_Decisions,matrix_Time,matrix_Solutions,matrix_Decisions
AsnetAm,18.886,10940176835337547967924371034466868710630875677480103542870936241337139500367104,-,1186.214,10940176835337547967924371034466868710630875677480103542870936241337139500367104,-,183.627,10940176835337547967924371034466868710630875677480103542870936241337139500367104,-,1191.518,10940176835337547967924371034466868710630875677480103542870936241337139500367104,-
AttMpls,0.570,332079085047889148852050485582652086278656000,-,1.124,332079085047889148852050485582652086278656000,-,1.958,332079085047889148852050485582652086278656000,-,1.122,332079085047889148852050485582652086278656000,-
Bellcanada,344.970,21734494071839738913800372841092339928806213887682976,-,TO,TO,TO,1101.732,21734494071839738913800372841092339928806213887682976,-,TO,TO,TO
Bellsouth,2.803,25499846072471603994198597758742212232593756141300827054153268206047828847968750000000000000000000000,-,477.829,25499846072471603994198597758742212232593756141300827054153268206047828847968750000000000000000000000,-,24.098,25499846072471603994198597758742212232593756141300827054153268206047828847968750000000000000000000000,-,485.358,25499846072471603994198597758742212232593756141300827054153268206047828847968750000000000000000000000,-
BeyondTheNetwork,47.028,2295287706099684505114490054400,-,58.906,2295287706099684505114490054400,-,1012.618,2295287706099684505114490054400,-,62.125,2295287706099684505114490054400,-
BtNorthAmerica,38.524,77832850131400759213277281147715111455060618217472,-,TO,TO,TO,438.528,77832850131400759213277281147715111455060618217472,-,TO,TO,TO
Cernet,3.945,999911045595155186882207018646590760,-,3.466,999911045595155186882207018646590760,-,60.323,999911045595155186882207018646590760,-,3.424,999911045595155186882207018646590760,-
Cesnet200706,2.390,26379159737915280007275994063063067339520,-,13.182,26379159737915280007275994063063067339520,-,13.200,26379159737915280007275994063063067339520,-,13.257,26379159737915280007275994063063067339520,-
Cesnet201006,0.582,80299268806739645462729470199902374912,-,0.553,80299268806739645462729470199902374912,-,2.480,80299268806739645462729470199902374912,-,0.557,80299268806739645462729470199902374912,-
Chinanet,3.405,176727991793056467571205005439579591987494173900,-,30.417,176727991793056467571205005439579591987494173900,-,24.994,176727991793056467571205005439579591987494173900,-,30.387,176727991793056467571205005439579591987494173900,-
Cogentco,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
Colt,16.533,1689163681250005833547215512283891717896679964994070256658525395487885885518711535450845316906609600,-,52.998,1689163681250005833547215512283891717896679964994070256658525395487885885518711535450845316906609600,-,387.532,1689163681250005833547215512283891717896679964994070256658525395487885885518711535450845316906609600,-,53.068,1689163681250005833547215512283891717896679964994070256658525395487885885518711535450845316906609600,-
Columbus,8.637,5090009455158177059209193331838145145990297840,-,21.313,5090009455158177059209193331838145145990297840,-,157.397,5090009455158177059209193331838145145990297840,-,21.150,5090009455158177059209193331838145145990297840,-
