Instance,matrix_Time,matrix_Solutions,matrix_Decisions
AsnetAm,1.000,20064184773096211440000,-
AttMpls,0.015,138690000,-
Bellcanada,3.565,1366309453307994000,-
Bellsouth,0.173,794988832250372760,-
BeyondTheNetwork,0.525,7960497608448,-
BtNorthAmerica,0.020,17798747645952,-
Cernet,0.014,13037563816704,-
Cesnet200706,0.460,14399767872,-
Cesnet201006,0.013,61223500800,-
Chinanet,0.009,7691190,-
Cogentco,TO,TO,TO
Colt,TO,TO,TO
Columbus,0.520,7165051704986651567,-
Cudi,0.294,9995373489286260,-
Deltacom,0.301,3951934041188949052559872439407542961305600,-
DeutscheTelekom,0.022,1569482805945600,-
Dfn,0.055,164585098635804000,-
DialtelecomCz,6.629,20368774221577457181929824667570199495600,-
Esnet,95.815,2404212918172947720,-
Forthnet,1.799,29464511615072976,-
Garr200902,0.078,7824905716064400,-
Garr200908,0.062,463471976167200,-
Garr200909,0.034,622464874416000,-
Garr200912,0.088,2122763494916064,-
Garr201001,0.037,4162117365182599680,-
Garr201003,0.100,39991147739136,-
Garr201004,44.786,2825001498839593800,-
Garr201005,0.109,7087148919474624,-
Garr201007,0.978,5336270947998010944,-
Garr201008,0.128,388166930756280,-
Garr201010,5.901,148027474414443820,-
Garr201012,0.130,97131756402639000,-
Garr201101,441.942,2733651895783360,-
Garr201102,0.107,289496337962113800,-
Garr201103,0.212,188664499520640000,-
Garr201104,0.398,16136087602223714400,-
Garr201105,0.432,1513246451090613120,-
Garr201107,0.457,936844463116800,-
Garr201108,0.107,12012866735768260800,-
Garr201109,0.364,132270243712681500,-
Garr201110,0.140,14056537029740766,-
Garr201111,0.284,5792755250563929648,-
Garr201112,19.379,374638307489310900,-
Garr201201,0.183,503920288213159104,-
Geant2009,0.743,405899646567480,-
Geant2010,0.256,49350233892960,-
Geant2012,0.095,8453062741836,-
Globenet,2.677,3614360512588884541440,-
GtsCe,238.636,1131381494786577404342359178908685756602897641120,-
HiberniaGlobal,3.993,2074561928035084800000,-
Highwinds,0.026,2620625,-
Iij,2.013,74717787200,-
Intellifiber,TO,TO,TO
Internode,0.419,656798976200400,-
Interoute,0.160,92298128982085591042551065289360000,-
Intranetwork,0.051,33747703235280000,-
Ion,ERR,ERR,ERR
Iris,0.034,71342977305600000,-
Kdl,ERR,ERR,ERR
Latnet,0.133,304291353642490026193920,-
Missouri,0.101,57105820983404196432000,-
Ntelos,0.067,12204588447222183936,-
Ntt,0.043,8386993056,-
Oteglobe,0.811,58932142778298816678592512000,-
Palmetto,0.038,873985074811200,-
Pern,0.103,768839913291780,-
PionierL3,0.214,11411355795840,-
RedBestel,0.550,1619510434492756271902713446400,-
Renater2010,0.022,54096125107736880,-
RoedunetFibre,0.015,621254814919200,-
Sinet,0.493,15071837050368,-
Surfnet,1.066,3342855333091997118,-
Switch,0.233,2279438093318474291882336,-
SwitchL3,0.031,2814573775104,-
Syringa,0.815,10089788438219191257523968000,-
TataNld,0.622,116699270316984507028179654846752222085120000,-
Telcove,2.571,74165451814712814103255500,-
Tinet,0.225,13027376900512716134400,-
Tw,0.624,3790029909358778736510720000,-
Ulaknet,11.705,756492510715200,-
Uninett2010,9.568,120545239248463249868042304,-
Uninett2011,TO,TO,TO
UsCarrier,17.132,132299646414148921973967297061663323763487466000,-
UsSignal,0.704,3542621686896383831250,-
Uunet,0.038,1505816007051840,-
VtlWavenet2008,5.067,124108206211482212912333137920,-
VtlWavenet2011,5.353,2067181203168727884189854085729600,-
bell-06,0.014,203,-
bell-07,0.036,877,-
bell-08,0.093,4140,-
bell-09,0.660,21147,-
bell-10,12.188,115975,-
bell-11,200.298,678570,-
bell-12,TO,TO,TO
delta,40.644,78,-
dominoes_10x10,0.295,258584046368,-
dominoes_10x12,0.238,65743732590821,-
dominoes_12x12,2.153,53060477521960000,-
dominoes_8x10,0.044,1031151241,-
dominoes_8x8,0.053,12988816,-
doublefact-09,0.014,945,-
doublefact-11,0.164,10395,-
doublefact-13,2.246,135135,-
doublefact-15,18.487,2027025,-
doublefact-17,353.048,34459425,-
doublefact-19,TO,TO,TO
doublefact-21,TO,TO,TO
doublefact-23,TO,TO,TO
doublefact-25,TO,TO,TO
doublefact-27,TO,TO,TO
doublefact-29,TO,TO,TO
exotic_fives,TO,TO,TO
grafo10006.98,2.698,272471817868228000342011539250,-
grafo10017.96,87.408,1126371275539172229007824880,-
grafo10072.97,7.328,13259058958914480360125792,-
grafo10084.97,1.138,2215710702367944079837593600,-
grafo10093.98,0.180,12011373629043051434493001680,-
grafo10099.94,7.696,39349088628024795597276038431211520,-
grafo10100.99,3.934,7977811134928620432600,-
grafo10105.93,8.272,1235530189623079694604780000,-
grafo10112.98,36.086,12692215709904984401077716142166580,-
grafo10113.94,1.429,13552406625123665520153488091360,-
grafo10116.100,25.811,971179169153002230808540080,-
grafo10124.100,4.927,148037675522027488235960571000,-
grafo10126.98,28.361,183653527195148472467375902190208,-
grafo10129.99,53.720,198551644286553956304688320,-
grafo10130.97,TO,TO,TO
grafo10146.97,1.555,36084888290235633242565472,-
grafo10151.94,101.031,884237567251276314795903728,-
grafo10153.100,49.520,1522606325222540988002985840,-
grafo10156.97,1.438,20350483027459989276721853299680,-
grafo10160.96,50.938,14752167990036562570679040,-
grafo10161.99,16.376,7499629965587176856336728953760,-
grafo10162.93,10.112,16943723066030712130728,-
grafo10164.98,22.069,3832204204851047972904160,-
grafo10171.99,2.438,15378287316672584254732985280,-
grafo10173.97,37.361,8321947117800534439910676000,-
grafo10175.99,0.487,85388328645309376216506001872,-
grafo10176.97,7.785,110391288988965933859653042432,-
grafo10179.97,118.530,3283276628857985077912945920,-
grafo10184.100,2.372,774260303763303208390801489920,-
grafo10195.99,0.412,190292079107394297194953680,-
grafo10203.97,0.462,60240136444714215336356779770000,-
grafo10204.100,10.504,29653634898146327380379042234220,-
grafo10205.97,0.443,1047098415602374598602584000,-
grafo10207.98,0.699,407524009110382244942767825920,-
grafo10209.99,0.863,1778405443010598595931612784,-
grafo10215.93,0.207,4429033439896804903015219200,-
grafo10218.99,88.804,38667105817754346010481229216,-
grafo10220.97,4.377,1790803918795800975261000000,-
grafo10223.100,4.926,328837542685158315870007155,-
grafo10237.100,226.098,56690839685714305150282092960,-
grafo10244.99,4.012,9063532329631820153122673664,-
grafo10250.100,0.585,114852967527687017594839695360,-
grafo10259.100,301.855,64165443845633858500762161900,-
grafo10262.100,0.569,6525746259024633846681600,-
grafo10265.100,0.203,32094343893604867070884746240,-
grafo10266.94,0.635,110801121815568366975240,-
grafo10269.99,1.188,380480960212526987313930000,-
grafo10273.97,1.141,33635956333383979125105139200,-
grafo10275.97,4.342,244643834228122975019518779960,-
grafo10288.95,0.423,67924110954574990800416160000,-
grafo10291.93,0.971,8089182960223746111277546359360,-
grafo10292.100,TO,TO,TO
grafo10293.99,0.375,1189967169400391312521176624192,-
grafo10297.98,0.467,5047361956059511058420258045952,-
grafo10298.97,0.613,6411956755318891248938904345600,-
grafo10303.96,0.733,336623282871798635541043488000,-
grafo10305.100,1.665,292616449355000172969265830912,-
grafo10318.98,5.732,160075764596308430431394162528,-
grafo10325.96,12.706,1515402842894491432903083787725,-
grafo10327.97,0.467,6668191872233180852367168,-
grafo10339.95,17.916,154016948980994323270086040,-
grafo10346.97,1.882,85352803321813705564434487680,-
grafo10351.97,64.919,3038891642273243664196962750,-
grafo10353.99,2.553,577765059452569037115956736,-
grafo10354.99,0.849,2635922965070113457943960,-
grafo10359.95,41.628,21232201433844641535018326254080,-
grafo10362.94,6.052,13439932228370461283870400,-
grafo10365.97,396.471,25575909770099386458374460,-
grafo10369.100,0.548,162269574458684398363738080,-
grafo10382.94,TO,TO,TO
grafo10383.99,15.525,48590627320293679248909600,-
grafo10387.97,0.210,928110106585327508832600,-
grafo10388.95,1.374,100871271571286563976946948624,-
grafo10393.96,441.008,425495802885845177760459850700,-
grafo10405.97,932.153,422648839585725195128400,-
grafo10409.96,0.690,139058476479714794419701648,-
grafo10416.96,0.353,271249176254157952533452952,-
grafo10418.100,0.567,147754061920021215867995714457600,-
grafo10420.97,0.333,40799332872710765774848481424384,-
grafo10421.99,1.945,52350402903229612656419750400,-
grafo10426.100,37.926,1827792182028002330287070982157036,-
grafo10432.99,1.222,39585030704867624378340600668160,-
grafo10434.98,381.106,869079194760573902185388,-
grafo10436.95,7.293,4397495877745499771502988640640,-
grafo10441.98,TO,TO,TO
grafo10444.100,1.573,16141694039854526732472576000000,-
grafo10445.94,7.343,139093054073990193881088000,-
grafo10446.95,0.533,1406626619252431805138851200,-
grafo10452.94,0.254,1302522886890895552129225440,-
grafo10453.97,0.447,978085055060719586502813757440,-
grafo10467.100,3.192,829005255557150402856812544000,-
grafo10469.100,2.186,29833371992729329249984,-
grafo10474.94,14.223,379074777475066237548576,-
grafo10484.99,3.353,2800369925851353194772692875,-
grafo10488.98,0.402,147530693993345834083200,-
grafo10489.95,TO,TO,TO
grafo10491.97,440.624,130734696450864539748417120,-
grafo10492.96,137.046,38385060996073952528012304,-
grafo10496.98,219.297,14305056819480615155962966224,-
grafo10501.96,7.141,60200824737438188138649600000,-
grafo10502.91,0.667,17145714310767787059504,-
grafo10508.100,315.554,4511299976859460536969453195036,-
grafo10516.94,17.174,15349626258814572399639360,-
grafo10522.99,20.901,1362396344215079666562581191680,-
grafo10523.97,1.185,2582091752234108448983040,-
grafo10532.99,3.508,462566039822118771475073572512,-
grafo10533.100,7.030,75765334881122745334866192794594400,-
grafo10534.100,0.646,6190404474802541320344211290206208,-
grafo10536.99,0.284,89947113720736152688205852520,-
grafo10537.95,931.659,12253198603138424808042214386,-
grafo10538.100,5.399,789373682830989325271163816,-
grafo10547.94,1.603,6784952125033040430938400,-
grafo10549.99,7.808,1145040940241452014901674319885248,-
grafo10552.96,66.718,20889029397226285157195570148,-
grafo10560.95,0.595,10454917675207673432929607718912,-
grafo10575.99,5.148,290401904358524035719206484192,-
grafo10577.100,9.372,289452947838024215689962434880,-
grafo10578.96,0.894,59448044221069477278245400,-
grafo10586.100,0.654,3148492073586458925239257920,-
grafo10589.93,16.020,48907524397035141831510108060,-
grafo10592.98,2.321,2607343682329504256862467094951600,-
grafo10596.99,1.058,112573774918535869185914200320,-
grafo10603.100,1.336,670515323535794966768000,-
grafo10608.93,0.971,2731816373006312109429752800,-
grafo10624.91,0.397,28252598579182428029482758660,-
grafo10626.100,0.282,123805968402809495607386400,-
grafo10630.94,21.027,42203028634531492749435200,-
grafo10632.100,14.794,574873638719068404760642606008000,-
grafo10633.100,TO,TO,TO
grafo10634.96,10.335,1654661607863151503791546470072,-
grafo10635.95,1.385,71356613932690877273184000,-
grafo10637.94,2.794,11214433932496991100576672,-
grafo10638.100,0.811,186453077689245827319552,-
grafo10644.100,4.107,465721805127078320112415926,-
grafo10646.100,0.747,9820844339917672108320000,-
grafo10648.98,4.407,356474569742739338284800,-
grafo10650.98,12.057,34469989471030631805056520,-
grafo10652.100,601.009,3980767018871922537250737072,-
grafo10653.100,113.019,1342947580955101731654364320,-
grafo10662.100,2.878,27178777349470484479346220000,-
grafo10663.99,0.693,10004537904397046812627562880,-
grafo10670.100,MEMOUT,MEMOUT,MEMOUT
grafo10671.100,881.188,624388665254004882462918502728,-
grafo10674.99,4.574,5795071987312867464401288085504,-
grafo10676.100,0.637,88449251051691116273910908805120,-
grafo10685.98,1.082,18933970214606610605994945868800,-
grafo10688.95,832.811,7478181939256863448721096448,-
grafo10689.98,0.849,1370682840424281115042080000,-
grafo10693.98,0.441,15811121663230543469294733740160,-
grafo10694.96,179.534,1401294839989869025897471776,-
grafo10695.98,3.700,152426309856396886819860480,-
grafo10696.99,2.642,5204295119772122743131779016000,-
grafo10698.95,0.130,195624642073083526902416762880,-
grafo10700.98,0.477,2303423420658486348064432128000,-
grafo10712.98,4.573,87350475221980225179971773660000,-
grafo10713.92,23.193,762510033365435299350000,-
grafo10714.99,499.428,753275972951039162649444000,-
grafo10722.96,3.094,7181570767061926043280,-
grafo10726.99,2.404,1169388613595008901313330971328,-
grafo10735.99,MEMOUT,MEMOUT,MEMOUT
grafo10736.99,0.686,654533353008865416702686400,-
grafo10737.99,4.172,948450972521583413184960,-
grafo10750.100,1.931,79424048531055784214151971742570,-
grafo10758.96,0.644,14393936331269128652052040205472000,-
grafo10760.96,19.024,44506808727552680251881600,-
grafo10772.100,MEMOUT,MEMOUT,MEMOUT
grafo10780.99,1059.010,100509624870633878324896188000,-
grafo10781.100,2.004,34326665474148801719856,-
grafo10792.98,4.424,28740760556884933575573102213120,-
grafo10806.97,44.771,35882395822546962110864956512,-
grafo10807.95,6.061,593601033156740569446885,-
grafo10808.98,7.016,378121638730523407451224668000,-
grafo10810.97,309.423,1746631086263901572859052425,-
grafo10811.96,5.957,62515660367842952114211840,-
grafo10814.98,60.709,1117495537268725326331067884800,-
grafo10820.100,MEMOUT,MEMOUT,MEMOUT
grafo10825.98,0.273,448703730980795389658142516768,-
grafo10827.99,42.291,55037159210177477446446115200,-
grafo10829.97,1.731,353483805373369159926528000,-
grafo10831.98,1.923,132171520291202302513208524800,-
grafo10832.94,MEMOUT,MEMOUT,MEMOUT
grafo10836.97,1.023,53328914740725442127812132608,-
grafo10849.95,0.807,146263666707748943943862272000,-
grafo10854.99,0.800,193278561796094961314540049523200,-
grafo10859.97,0.689,619544659954727747936779866,-
grafo10860.93,0.357,82576179328076510630400,-
grafo10861.100,0.799,7829288665158404488852831676796000,-
grafo10862.98,MEMOUT,MEMOUT,MEMOUT
grafo10864.99,5.867,16665764537733819344371841148,-
grafo10865.100,MEMOUT,MEMOUT,MEMOUT
grafo10866.98,710.406,68356641445009397216264450802,-
grafo10876.98,MEMOUT,MEMOUT,MEMOUT
grafo10878.94,3.004,40448324839475188109531614233600,-
grafo10882.95,1.894,447542272092260259015739440,-
grafo10883.93,0.888,2430118976009979196378800000,-
grafo10898.95,0.187,758521327325540596697880000,-
grafo10905.97,0.288,12135924843732264824121600000,-
grafo10907.99,46.681,32617260794404341954987264,-
grafo10908.98,4.418,6900725645688243858242801600,-
grafo10911.100,MEMOUT,MEMOUT,MEMOUT
grafo10918.98,5.149,32800654433715516623943360,-
grafo10919.97,0.967,4873808896014194882486512200,-
grafo10926.99,0.409,401726519668839391778054937600,-
grafo10928.100,64.774,9190740681040137170433128446800,-
grafo10937.100,0.510,911068768064780693215657056000,-
grafo10943.95,1.400,2232135796878792160387153920000,-
grafo10945.98,1.499,95891009417905168894140000,-
grafo10950.97,MEMOUT,MEMOUT,MEMOUT
grafo10952.96,44.870,391142330406672230736365760,-
grafo10958.98,MEMOUT,MEMOUT,MEMOUT
grafo10962.100,MEMOUT,MEMOUT,MEMOUT
grafo10970.100,3.297,2452216546463682773005463232,-
grafo10972.95,17.197,730244896653297849257953429260,-
grafo10976.92,8.702,10759050697100237213220300916440,-
grafo10998.100,MEMOUT,MEMOUT,MEMOUT
grafo11000.99,2.704,1217725012095539482686059005177080,-
grafo11001.97,MEMOUT,MEMOUT,MEMOUT
grafo11003.100,4.204,3976499213449309516733400000,-
grafo11008.99,6.723,3675203970100782918317392,-
grafo11011.100,1.126,140688757390106390892469346304000,-
grafo11014.100,1.013,102699410881895065529306726096461824,-
grafo11015.98,15.508,5799643168166328288201029091456,-
grafo11016.98,0.811,7526571230364813338624640,-
grafo11020.100,0.814,20444842677214024445820085111800000,-
grafo11035.99,0.211,26848343803661264515276800,-
